,domain,src_slot,tgt_slot,src_value,Recomm,target_values
0,pc,features,features,N/A,"('touchscreen, backlit keyboard, PCIE SSD', 'water cooling, HyperX Fury memory')","['512GB SSD + 2TB HDD', 'backlit keyboard, quick charge, and a Type-c port', 'backlit keyboard, fingerprint recognition, PCIE SSD, quick charge and Type-c port', 'backlit keyboard and PCIe SSD', 'backlit keyboard, fingerprint recognition, and quick charge', 'PCIe SSD, and double hard drives', ""I didn't find any information on its special features"", 'backlit keyboard', 'PCIE SSD, double hard drives', 'PCIe SSD, double hard drives', 'backlit keyboard, fingerprint recognition, and a quick charge', 'backlit keyboard and bezel-less screen', 'Backlit keyboard, PCIe SSD, and double hard drives', 'PCIE SSD, double hard drives, quick charge, and Type-c port', 'PCIE SSD', 'PCIe SSD', 'a backlit keyboard, fingerprint recognition, PCIe SSD, quick charge, and Type-c port', 'touchscreen, backlit keyboard, PCIE SSD', 'quick charge', 'fingerprint recognition, quick charge functions, and an overall thickness of less than 20mm', 'Fingerprint recognition, PCIe SSD, and battery with long service life.', 'water cooling, HyperX Fury memory', 'bezel-less screen, double hard drives, double memory slots', 'a backlit keyboard, fingerprint recognition', 'fingerprint recognition', 'quick charge functions, and an overall thickness of less than 20mm']"
1,pc,colour,colour,N/A,"('mainly white', 'platinum silver')","['platinum silver', 'mainly grey', 'mainly black', 'has the same color as the other desktops', 'There are no specific descriptions', 'mainly silvery', 'mainly gray', 'mainly blue', 'mainly white']"
39,pc,cpu_model,cpu_model,Inter Core i5,"('Intel Core i5-9400', 'Intel Core i5-9500')","['i7-9750H', 'i7-9700', 'i5-8265U', 'i7-8700', 'Intel Core i7 8565U', 'i5-8250U', 'i5-9400F', 'i7-9700F', 'Intel Core i7-9700', 'Intel Core i7-9700F', 'i5-10210U', 'i9-9900', 'i5-9300H', 'i3-9100', 'i5-9400', 'Intel Core i5-8265U', 'Intel Core i5-8250U', 'Intel Core i5-9300H', 'Intel Core i7-10710u', 'Intel Core i7-9750H', 'Intel Core i5-9400F', 'Intel Core i7-8700', 'Intel Core i9-9900', 'Intel Core i3-9100', 'Intel Core i9-9980HK', 'Intel Core i7-10510u', 'Intel Core i5-9400', 'Intel Core i5-10210U', 'Intel Core i5-9500', 'Intel Core i9-9900K', 'Intel Core i7-9700K', 'Intel Core i5-7400', 'Intel Core i7-10510U']"
41,pc,cpu_model,cpu_model,Inter Core i9,"('Intel Core i7-9700', 'Intel Core i9-9900')","['i7-9750H', 'i7-9700', 'i5-8265U', 'i7-8700', 'Intel Core i7 8565U', 'i5-8250U', 'i5-9400F', 'i7-9700F', 'Intel Core i7-9700', 'Intel Core i7-9700F', 'i5-10210U', 'i9-9900', 'i5-9300H', 'i3-9100', 'i5-9400', 'Intel Core i5-8265U', 'Intel Core i5-8250U', 'Intel Core i5-9300H', 'Intel Core i7-10710u', 'Intel Core i7-9750H', 'Intel Core i5-9400F', 'Intel Core i7-8700', 'Intel Core i9-9900', 'Intel Core i3-9100', 'Intel Core i9-9980HK', 'Intel Core i7-10510u', 'Intel Core i5-9400', 'Intel Core i5-10210U', 'Intel Core i5-9500', 'Intel Core i9-9900K', 'Intel Core i7-9700K', 'Intel Core i5-7400', 'Intel Core i7-10510U']"
46,car,name,name,POLO Automatic Panoramic Enjoyment Version,"('Tiguan-L 280TSI Automatic Two-wheel Panoramic Comfortable Version', 'Santana 1.5L Automatic Comfort Version')","['Lamando 280TSI DSG Comfort Edition', 'Touareg 2.0TSI Ruiyi Version', 'Volkswagen Touran L 280TSI 6 Seaters', 'FAW-Volkswagen Magotan 330TSI DSG Luxury', 'T-ROC 280TSI DSG all-wheel Luxury', 'Passat 280TSI Business Line', 'Magotan 280TSI DSG Comfort Version', 'Tayron 380TSI 4WD Luxury Version', 'Bora 1.5L Automatic Comfort Edition', 'Lavida 280TSI DSG Comfort Edition', 'FAW-Volkswagen CC 380TSI Yao Yan Edition', 'C-TREK Weiling 1.5L Automatic Comfort Type', 'Lamando 230TSI DSG Fashion Edition', 'T-ROC 230TSI DSG Aggressive Edition with two-wheel drive', 'Tayron 330TSI Comfort with two-wheel drive', 'Tiguan-L 430PHEV Hybrid Power Luxury Version', 'C-TREK Weiling 1.5L automatic comfort type', 'Teramont 330TSI Comfort Edition with two-wheel drive', 'Caravelle 2.0TSI Comfortline with all-wheel drive', 'Sagitar 280TSI DSG Luxury Edition', 'FAW-Volkswagen TACQUA DSG Yue', 'Teramont 380TSI All-wheel Luxury', 'Teramont X 380TSI All-wheel Luxury', 'Tiguan-L 380TSI R-Line 4WD Ultimate Edition', 'Volkswagen T-Cross with a 1.5 L petrol engine', 'Santana 1.5L Automatic Comfort Version', 'luxury edition of Volkswagen Golf 280TSI DSG', 'FAW-Volkswagen Magotan 280TSI DSG Comfort Version', 'two-wheel Phideon 380TSI Luxury', 'Volkswagen Golf Variant 280TSI Comfort with two-wheel drive', 'the model Touareg 2.0TSI Ruiyi Version', 'T-ROC 280TSI DSG Luxury with all-wheel drive', 'Sharan 380TSI Comfort', 'SAIC Volkswagen Passat 430PHEV Hybrid Luxury Version', 'Volkswagen Multivan 2.0TSI Two-wheel Luxury', 'Tayron 380TSI', '280TSI Business Line', '330TSI Luxury Line', '430PHEV Elite Edition', 'Magotan GTE Luxury Edition', 'FAW-Volkswagen TACQUA 280TSI DSG R-Line', '280TSI', 'Volkswagen T-Cross 280TSI DSG Comfort Edition', '380TSI Yao Yan Edition', 'FAW-Volkswagen Magotan 380TSI DSG Luxury Edition', 'Sagitar 200TSI DSG Comfort Edition', 'Bora 280TSI DSG Elite Edition', 'FAW-Volkswagen CC 330TSI Mei Yan Edition', 'Tharu 280TSI Comfort Edition with two-wheel drive', 'Magotan GTE Luxury Edition with a hybrid system', 'SAIC Volkswagen Passat Hybrid Luxury Version', 'Golf 200TSI DSG Comfortable Version', 'Volkswagen Beetle 180TSI Version', 'Tharu 330TSI All-wheel Luxury Version', 'Golf 1.8TSI Travel Version', 'Volkswagen Beetle 280TSI Version', 'Tiguan-L 280TSI Automatic Two-wheel Panoramic Comfortable Version', 'FAW-Volkswagen Magotan 330TSI DSG Luxury Version', 'SAIC Volkswagen Passat 330TSI Luxury Version', 'Tiguan-L 330TSI Automatic Two-wheel Intelligent Luxury Version', 'Volkswagen Golf Variant GTE', 'Volkswagen Golf Variant 380TSI All-wheel Version', 'Teramont X 530 V6 All-wheel Deluxe Version']"
47,car,name,name,Touree 3.0TSI Version,"('Golf 1.8TSI Travel Version', 'Touareg 2.0TSI Ruiyi Version')","['Lamando 280TSI DSG Comfort Edition', 'Touareg 2.0TSI Ruiyi Version', 'Volkswagen Touran L 280TSI 6 Seaters', 'FAW-Volkswagen Magotan 330TSI DSG Luxury', 'T-ROC 280TSI DSG all-wheel Luxury', 'Passat 280TSI Business Line', 'Magotan 280TSI DSG Comfort Version', 'Tayron 380TSI 4WD Luxury Version', 'Bora 1.5L Automatic Comfort Edition', 'Lavida 280TSI DSG Comfort Edition', 'FAW-Volkswagen CC 380TSI Yao Yan Edition', 'C-TREK Weiling 1.5L Automatic Comfort Type', 'Lamando 230TSI DSG Fashion Edition', 'T-ROC 230TSI DSG Aggressive Edition with two-wheel drive', 'Tayron 330TSI Comfort with two-wheel drive', 'Tiguan-L 430PHEV Hybrid Power Luxury Version', 'C-TREK Weiling 1.5L automatic comfort type', 'Teramont 330TSI Comfort Edition with two-wheel drive', 'Caravelle 2.0TSI Comfortline with all-wheel drive', 'Sagitar 280TSI DSG Luxury Edition', 'FAW-Volkswagen TACQUA DSG Yue', 'Teramont 380TSI All-wheel Luxury', 'Teramont X 380TSI All-wheel Luxury', 'Tiguan-L 380TSI R-Line 4WD Ultimate Edition', 'Volkswagen T-Cross with a 1.5 L petrol engine', 'Santana 1.5L Automatic Comfort Version', 'luxury edition of Volkswagen Golf 280TSI DSG', 'FAW-Volkswagen Magotan 280TSI DSG Comfort Version', 'two-wheel Phideon 380TSI Luxury', 'Volkswagen Golf Variant 280TSI Comfort with two-wheel drive', 'the model Touareg 2.0TSI Ruiyi Version', 'T-ROC 280TSI DSG Luxury with all-wheel drive', 'Sharan 380TSI Comfort', 'SAIC Volkswagen Passat 430PHEV Hybrid Luxury Version', 'Volkswagen Multivan 2.0TSI Two-wheel Luxury', 'Tayron 380TSI', '280TSI Business Line', '330TSI Luxury Line', '430PHEV Elite Edition', 'Magotan GTE Luxury Edition', 'FAW-Volkswagen TACQUA 280TSI DSG R-Line', '280TSI', 'Volkswagen T-Cross 280TSI DSG Comfort Edition', '380TSI Yao Yan Edition', 'FAW-Volkswagen Magotan 380TSI DSG Luxury Edition', 'Sagitar 200TSI DSG Comfort Edition', 'Bora 280TSI DSG Elite Edition', 'FAW-Volkswagen CC 330TSI Mei Yan Edition', 'Tharu 280TSI Comfort Edition with two-wheel drive', 'Magotan GTE Luxury Edition with a hybrid system', 'SAIC Volkswagen Passat Hybrid Luxury Version', 'Golf 200TSI DSG Comfortable Version', 'Volkswagen Beetle 180TSI Version', 'Tharu 330TSI All-wheel Luxury Version', 'Golf 1.8TSI Travel Version', 'Volkswagen Beetle 280TSI Version', 'Tiguan-L 280TSI Automatic Two-wheel Panoramic Comfortable Version', 'FAW-Volkswagen Magotan 330TSI DSG Luxury Version', 'SAIC Volkswagen Passat 330TSI Luxury Version', 'Tiguan-L 330TSI Automatic Two-wheel Intelligent Luxury Version', 'Volkswagen Golf Variant GTE', 'Volkswagen Golf Variant 380TSI All-wheel Version', 'Teramont X 530 V6 All-wheel Deluxe Version']"
48,restaurant,name,name,Palsaik Korean +Q,"('Master Yan', 'Palsaik Korean BBQ')","['Nongleyuan Charcoal Fire Barbecue', ""L'Arôme"", 'Palsaik Korean BBQ', 'Laotianqiao Frog Hot Pot', 'Spicy Memory', 'Wufangzhai', 'LELECHA', 'Aobanian Hot Pot', 'Xibei Restaurant', 'Zhen Pin Yue Teahouse', ""Chongqing Dezhuang Hot Pot's directly operated restaurant"", 'Banyuan Private Home Cuisine', 'Songhelou Restaurant', 'DuoDuo Wang Hong Kong Style Tea Restaurant', 'Yamazaki Bakery', 'Miss Fu in Chengdu', 'Seoul Korean Cuisine', 'Riverside Grilled Fish', 'Sichuan Xiang Tian Xia Hot Pot', 'Nailaoshiguang', 'Wang Steak', ""Niutanjia Ben'Ge Charcoal Barbecue"", ""Grandma's Home"", 'Beijiang Restaurant', 'Tongli Hometown', 'Zhiwei Japanese Restaurant', 'Dream of Taoyuan', 'Master Yan', 'Laofengting', 'Zhou Zhuang Hua Jian Tang Jie Geng Restaurant', 'Xin Hua Xi Beef Rice Noodle', 'Dongwu Noodle House', 'Guimijia', ""Fox's House Yoghurt"", 'Wanyuting·hejiariben Cuisine Teppanyaki', 'Goodman Folk Snacks', ""Yang's Dumpling"", ""Fox's Home Yogurt"", 'Deyuelou', ""Le Blé d'Or Brewery Restaurant"", 'HOU GA FEI', 'Haidilao Hot Pot', 'Seoul South Korean Cuisine', 'QingHeGu', 'Chongqing De Zhuang Hot Pot', 'Yangguanguren Restaurant', 'One Plus Conveyor Belt Sushi', ""L'Arome"", 'Laotianqiao Walu Hotpot', 'Xiewang Restaurant', 'Northeast Restaurant', 'Li Li Xiao Chao', 'Cai Zhi Zhai', 'Yang Guan Gu Ren', 'Qing He Gu', 'Guan Zhi North', 'Tangpalace Seafood Restaurant', 'Tang Palace Seafood Restaurant']"
49,hotel,parking,parking,N/A,"('need to pay', 'paid')","['free', 'need to pay', 'paid']"
53,hospital,key_departments,key_departments,blood,"('oncology department', 'blood department')","['dermatological department', 'psychological department', 'gynecology department', 'general hospital', 'respiratory medicine department', 'pediatric clinic', 'oncology department', 'ophthalmic department', 'general surgery department', 'neurosurgery department', 'urology surgery department', 'respiratory clinic', 'blood department', 'endocrinology department', 'burn department', 'nephrology department', 'neurology department', 'Cardiovascular Medicine Department', 'pediatric', 'Gastroenterology Department', 'Gynecology Department', 'stomatology department', 'cardiovascular', 'nephrology', 'neurology', 'burn', 'urology', 'psychology', 'dermatology', 'gynecology', 'neurosurgery', 'ophthalmology', 'stomatology']"
56,hospital,key_departments,key_departments,endocrinology,"('neurology', 'endocrinology department')","['dermatological department', 'psychological department', 'gynecology department', 'general hospital', 'respiratory medicine department', 'pediatric clinic', 'oncology department', 'ophthalmic department', 'general surgery department', 'neurosurgery department', 'urology surgery department', 'respiratory clinic', 'blood department', 'endocrinology department', 'burn department', 'nephrology department', 'neurology department', 'Cardiovascular Medicine Department', 'pediatric', 'Gastroenterology Department', 'Gynecology Department', 'stomatology department', 'cardiovascular', 'nephrology', 'neurology', 'burn', 'urology', 'psychology', 'dermatology', 'gynecology', 'neurosurgery', 'ophthalmology', 'stomatology']"
58,hospital,key_departments,key_departments,gastroenterology,"('stomatology', 'Gastroenterology Department')","['dermatological department', 'psychological department', 'gynecology department', 'general hospital', 'respiratory medicine department', 'pediatric clinic', 'oncology department', 'ophthalmic department', 'general surgery department', 'neurosurgery department', 'urology surgery department', 'respiratory clinic', 'blood department', 'endocrinology department', 'burn department', 'nephrology department', 'neurology department', 'Cardiovascular Medicine Department', 'pediatric', 'Gastroenterology Department', 'Gynecology Department', 'stomatology department', 'cardiovascular', 'nephrology', 'neurology', 'burn', 'urology', 'psychology', 'dermatology', 'gynecology', 'neurosurgery', 'ophthalmology', 'stomatology']"
59,hospital,key_departments,key_departments,oncology,"('oncology department', 'gynecology')","['dermatological department', 'psychological department', 'gynecology department', 'general hospital', 'respiratory medicine department', 'pediatric clinic', 'oncology department', 'ophthalmic department', 'general surgery department', 'neurosurgery department', 'urology surgery department', 'respiratory clinic', 'blood department', 'endocrinology department', 'burn department', 'nephrology department', 'neurology department', 'Cardiovascular Medicine Department', 'pediatric', 'Gastroenterology Department', 'Gynecology Department', 'stomatology department', 'cardiovascular', 'nephrology', 'neurology', 'burn', 'urology', 'psychology', 'dermatology', 'gynecology', 'neurosurgery', 'ophthalmology', 'stomatology']"
